2026-05-15 23:24:28.577 [info] Starting Excalidraw MCP server...
2026-05-15 23:24:28.580 [debug] Connecting to transport...
2026-05-15 23:24:28.580 [info] Excalidraw MCP server running on stdio
2026-05-15 23:24:34.092 [info] Starting Excalidraw MCP server...
2026-05-15 23:24:34.095 [debug] Connecting to transport...
2026-05-15 23:24:34.096 [info] Excalidraw MCP server running on stdio
2026-05-20 22:39:32.438 [info] Starting Excalidraw MCP server...
2026-05-20 22:39:32.441 [debug] Connecting to transport...
2026-05-20 22:39:32.442 [info] Excalidraw MCP server running on stdio
2026-05-20 22:39:33.833 [info] Listing available tools
2026-05-20 22:39:36.677 [info] Starting Excalidraw MCP server...
2026-05-20 22:39:36.680 [debug] Connecting to transport...
2026-05-20 22:39:36.680 [info] Excalidraw MCP server running on stdio
2026-05-31 11:04:34.845 [info] Starting Excalidraw MCP server...
2026-05-31 11:04:34.847 [debug] Connecting to transport...
2026-05-31 11:04:34.848 [info] Excalidraw MCP server running on stdio
2026-05-31 18:37:55.740 [info] Starting Excalidraw MCP server...
2026-05-31 18:37:55.748 [debug] Connecting to transport...
2026-05-31 18:37:55.749 [info] Excalidraw MCP server running on stdio
2026-06-03 12:15:03.031 [info] Starting Excalidraw MCP server...
2026-06-03 12:15:03.034 [debug] Connecting to transport...
2026-06-03 12:15:03.034 [info] Excalidraw MCP server running on stdio
2026-06-03 12:15:12.175 [info] Listing available tools
2026-06-03 12:15:16.226 [info] Starting Excalidraw MCP server...
2026-06-03 12:15:16.229 [debug] Connecting to transport...
2026-06-03 12:15:16.230 [info] Excalidraw MCP server running on stdio
2026-06-09 21:59:25.620 [info] Starting Excalidraw MCP server...
2026-06-09 21:59:25.630 [debug] Connecting to transport...
2026-06-09 21:59:25.632 [info] Excalidraw MCP server running on stdio
2026-06-09 21:59:27.109 [info] Listing available tools
2026-06-11 09:04:27.712 [info] Starting Excalidraw MCP server...
2026-06-11 09:04:27.711 [info] Starting Excalidraw MCP server...
2026-06-11 09:04:27.725 [debug] Connecting to transport...
2026-06-11 09:04:27.727 [info] Excalidraw MCP server running on stdio
2026-06-11 09:04:27.724 [debug] Connecting to transport...
2026-06-11 09:04:27.726 [info] Excalidraw MCP server running on stdio
2026-06-11 09:04:27.816 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.819 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.821 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.822 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.825 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.827 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.829 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.830 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.831 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.835 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.838 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.840 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.841 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.842 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.842 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.843 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.844 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.844 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.845 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.845 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.846 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.846 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.847 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.847 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.847 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.848 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.848 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.849 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.849 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.850 [error] Uncaught exception: EPIPE: broken pipe, write
